Iteration    0 	Loss PDE = 0.236444222490 	Lyap = -5.78e-02
Iteration 4200 	Loss PDE = 0.000028855565 	Lyap = 3.81e-02
Iteration 4250 	Loss PDE = 0.000028198222 	Lyap = 3.81e-02
Iteration 4300 	Loss PDE = 0.000027552873 	Lyap = 3.81e-02
Iteration 4350 	Loss PDE = 0.000026919290 	Lyap = 3.81e-02
Iteration 4400 	Loss PDE = 0.000026297257 	Lyap = 3.81e-02
Iteration 4450 	Loss PDE = 0.000025686573 	Lyap = 3.82e-02
Iteration 4500 	Loss PDE = 0.000025087049 	Lyap = 3.82e-02
Iteration 4550 	Loss PDE = 0.000024498503 	Lyap = 3.82e-02
Iteration 4600 	Loss PDE = 0.000023920765 	Lyap = 3.82e-02
Iteration 4650 	Loss PDE = 0.000023353670 	Lyap = 3.82e-02
Iteration 4700 	Loss PDE = 0.000022797063 	Lyap = 3.83e-02
Iteration 4750 	Loss PDE = 0.000022250795 	Lyap = 3.83e-02
Iteration 4800 	Loss PDE = 0.000021714721 	Lyap = 3.83e-02
Iteration 4850 	Loss PDE = 0.000021188704 	Lyap = 3.83e-02
Iteration 4900 	Loss PDE = 0.000020672611 	Lyap = 3.84e-02
Iteration 4950 	Loss PDE = 0.000020166314 	Lyap = 3.84e-02
